name,affiliation,departments,email,website,interests,title,year,venue
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Our Histories, Our Values, Our Mathematics.",2024,"Journal of Humanistic Mathematics 14 (1), 2024"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,The Meaning of Proofs: Mathematics as Storytelling,2023,"AMERICAN MATHEMATICAL MONTHLY 130 (6), 597-600, 2023"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"23rd Annual Kenneth C. Schraut Memorial Lecture: Languages, Alphabets, and Group Theory",2023,
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Mathematics and Society,2023,"Journal of Humanistic Mathematics 13 (2), 1-3, 2023"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Analysis of calculus textbook problems via Bloom's taxonomy,2023,"Taylor & Francis Inc., 2023"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,"Where Does Mathematics Come From? Really, Where?",2023,"Journal of Humanistic Mathematics 13 (1), 1-3, 2023"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Doughnuts and Ice Cream Cones: Sweet Mathematics,2022,"Journal of Humanistic Mathematics 12 (2), 1-2, 2022"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Mathematical Constants Beyond the Half-Circle: An Open Call for Poetry,2022,"Journal of Humanistic Mathematics 12 (2), 579-580, 2022"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Seeing Mathematics and Seeing Mathematicians,2022,"Journal of Humanistic Mathematics 12 (1), 1-3, 2022"
Gizem Karaali,"Mathematics & Statistics Department, Pomona College",Mathematics;Statistics,@pomona.edu,http://pages.pomona.edu/~gk014747,Representation Theory;Matching Theory;Quantitative Literacy;Mathematics for Social Justice,Innumeracy in the Wild: Misunderstanding and Misusing Numbers.,2021,"Numeracy: Advancing Education in Quantitative Literacy 14 (1), 2021"
